home_team,avg_goals_scored,avg_goals_conceded,total_games,total_wins,total_draws,win_percentage
Switzerland,1.475739644970414,1.6568047337278107,845,300,188,35.50295857988166
Syria,1.4164810690423162,1.329621380846325,449,161,108,35.85746102449889
Tahiti,2.36,1.72,200,102,26,51.0
Tajikistan,1.494047619047619,1.380952380952381,168,65,36,38.69047619047619
Tanzania,1.0535372848948374,1.520076481835564,523,132,156,25.239005736137663
Thailand,1.510233918128655,1.5701754385964912,684,249,162,36.40350877192983
The Gambia,0.9208333333333333,1.3666666666666667,240,62,70,25.833333333333336
Timor-Leste,0.8656716417910447,3.4328358208955225,67,6,4,8.955223880597014
Togo,1.0833333333333333,1.369047619047619,420,130,110,30.952380952380953
Tonga,1.037037037037037,3.8518518518518516,54,12,6,22.22222222222222
Trinidad and Tobago,1.6913767019667172,1.313161875945537,661,286,137,43.267776096823
Tunisia,1.4488817891373802,1.0319488817891374,626,273,173,43.61022364217252
Turkiye,1.3760262725779968,1.4006568144499179,609,239,150,39.24466338259442
Turkmenistan,1.5032679738562091,1.522875816993464,153,55,26,35.947712418300654
Turks and Caicos Islands,0.8571428571428571,3.914285714285714,35,6,3,17.142857142857142
US Virgin Islands,0.5344827586206896,4.327586206896552,58,6,6,10.344827586206897
USA,1.5040322580645162,1.288978494623656,744,327,159,43.95161290322581
Uganda,1.4740973312401884,1.1805337519623234,637,257,177,40.34536891679748
Ukraine,1.4,1.0193548387096774,310,139,89,44.83870967741935
United Arab Emirates,1.4162257495590829,1.2451499118165785,567,230,137,40.56437389770723
Uruguay,1.5703463203463204,1.2294372294372293,924,406,225,43.93939393939394
Uzbekistan,1.6816720257234727,1.1511254019292605,311,143,61,45.98070739549839
Vanuatu,1.7109826589595376,2.2658959537572256,173,50,23,28.901734104046245
Venezuela,1.0240384615384615,1.8701923076923077,416,105,94,25.240384615384613
Vietnam,1.7272727272727273,1.5724815724815724,407,167,81,41.03194103194103
Wales,1.2425106990014265,1.6134094151212552,701,224,156,31.95435092724679
Yemen,0.939622641509434,2.290566037735849,265,52,49,19.622641509433965
Zambia,1.5469973890339426,1.0548302872062663,766,344,202,44.90861618798956
Zimbabwe,1.3402922755741127,1.150313152400835,479,190,135,39.66597077244259
